instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_group
1,2011-01-01,Spring,2011,Jan,0,No,Sat,Holiday,Clear,9.84,14.395,81.0,0.0,3.0,13.0,16.0,Midnight
2,2011-01-01,Spring,2011,Jan,1,No,Sat,Holiday,Clear,9.02,13.635,80.0,0.0,8.0,32.0,40.0,Midnight
3,2011-01-01,Spring,2011,Jan,2,No,Sat,Holiday,Clear,9.02,13.635,80.0,0.0,5.0,27.0,32.0,Midnight
4,2011-01-01,Spring,2011,Jan,3,No,Sat,Holiday,Clear,9.84,14.395,75.0,0.0,3.0,10.0,13.0,Midnight
5,2011-01-01,Spring,2011,Jan,4,No,Sat,Holiday,Clear,9.84,14.395,75.0,0.0,0.0,1.0,1.0,Midnight
6,2011-01-01,Spring,2011,Jan,5,No,Sat,Holiday,Mist,9.84,12.879999999999999,75.0,6.0032,0.0,1.0,1.0,Midnight
7,2011-01-01,Spring,2011,Jan,6,No,Sat,Holiday,Clear,9.02,13.635,80.0,0.0,2.0,0.0,2.0,Morning
8,2011-01-01,Spring,2011,Jan,7,No,Sat,Holiday,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1.0,2.0,3.0,Morning
9,2011-01-01,Spring,2011,Jan,8,No,Sat,Holiday,Clear,9.84,14.395,75.0,0.0,1.0,7.0,8.0,Morning
10,2011-01-01,Spring,2011,Jan,9,No,Sat,Holiday,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8.0,6.0,14.0,Morning
11,2011-01-01,Spring,2011,Jan,10,No,Sat,Holiday,Clear,15.58,19.695,76.0,16.997899999999998,12.0,24.0,36.0,Morning
12,2011-01-01,Spring,2011,Jan,11,No,Sat,Holiday,Clear,14.76,16.665,81.0,19.0012,26.0,30.0,56.0,Morning
13,2011-01-01,Spring,2011,Jan,12,No,Sat,Holiday,Clear,17.22,21.21,77.0,19.0012,29.0,55.0,84.0,Noon
14,2011-01-01,Spring,2011,Jan,13,No,Sat,Holiday,Mist,18.86,22.725,72.0,19.999499999999998,47.0,47.0,94.0,Noon
15,2011-01-01,Spring,2011,Jan,14,No,Sat,Holiday,Mist,18.86,22.725,72.0,19.0012,35.0,71.0,106.0,Noon
16,2011-01-01,Spring,2011,Jan,15,No,Sat,Holiday,Mist,18.04,21.97,77.0,19.999499999999998,40.0,70.0,110.0,Noon
17,2011-01-01,Spring,2011,Jan,16,No,Sat,Holiday,Mist,17.22,21.21,82.0,19.999499999999998,41.0,52.0,93.0,Noon
18,2011-01-01,Spring,2011,Jan,17,No,Sat,Holiday,Mist,18.04,21.97,82.0,19.0012,15.0,52.0,67.0,Noon
19,2011-01-01,Spring,2011,Jan,18,No,Sat,Holiday,Light rain/snow,17.22,21.21,88.0,16.997899999999998,9.0,26.0,35.0,Afternoon
20,2011-01-01,Spring,2011,Jan,19,No,Sat,Holiday,Light rain/snow,17.22,21.21,88.0,16.997899999999998,6.0,31.0,37.0,Afternoon
21,2011-01-01,Spring,2011,Jan,20,No,Sat,Holiday,Mist,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11.0,25.0,36.0,Afternoon
